File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:46:20 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.43,0.21,0.43,32.9,0
-0.31,0.09,0.46,32.9,0
-0.19,0.1,0.02,32.9,0
0.08,0.28,0.36,32.6,0
0.99,0.94,-0.65,32.6,0
-0.54,-1.4,0,32.9,0
-0.08,0.34,0.51,32.9,0
0.11,0.02,0.34,32.9,0
0,-0.02,0.1,32.9,0
0,-0.03,-0.23,32.9,0
-0.66,0.12,0.26,32.9,0
-0.22,0.11,-0.22,32.9,0
2.38,-1.95,0.32,32.9,0
1.34,-0.2,-0.17,32.9,0
-0.06,0.36,-1.83,32.9,0
-0.28,0.05,-0.56,32.9,0
0.12,0.02,-0.83,32.9,0
0,0.1,-0.82,32.9,0
0,0.1,-0.83,32.9,0
0,0.09,-0.82,32.9,0
0,0.1,-0.82,32.9,0
-0.01,0.1,-0.82,32.9,0
-0.06,0.05,-0.85,32.9,0
0,-0.04,-0.8,32.6,0
-0.08,-0.01,0.05,32.6,0
0.72,-1.14,-0.02,32.9,0
-0.27,-0.22,-1.47,32.6,0
-0.45,0.22,1.37,32.9,0
0.11,0.07,0.09,32.9,0
-0.03,-1.35,-0.88,32.9,0
-0.09,-1.28,1.06,32.9,0
-0.28,-1.4,-0.14,32.6,0
-0.26,-0.7,0.01,32.9,0
-0.21,-0.87,0.68,32.9,0
0.13,-1.34,-0.88,32.6,0
-0.01,-1.92,0.96,32.9,0
0.26,-1.98,-0.5,32.9,0
-0.01,-1.35,0.7,32.6,0
-0.04,-0.7,-0.2,32.9,0
-0.01,-0.43,0.68,32.6,0
0.88,-0.5,-2.99,32.9,0
0.23,-1.48,2.23,32.6,0
0.47,-0.98,-0.61,32.9,0
0.2,-0.6,0.7,32.9,0
0.35,-0.8,0.74,32.6,0
-0.06,-1.37,-0.34,32.9,0
-0.66,-1,1.05,32.9,0
0,-0.87,-0.2,32.9,0
0.09,-0.42,-0.22,32.9,0
0.14,-1.15,0.37,32.9,0
0.02,-1.36,0.08,32.9,0
0.03,-0.86,0.14,32.6,0
-0.05,-0.64,0.35,32.9,0
-0.07,-0.5,0.35,32.6,0
-0.21,-0.58,0.58,32.9,0
-0.2,0.5,-0.72,32.9,0
-0.03,-0.79,0.51,32.9,0
-0.01,-0.11,0.41,32.9,0
0.28,-0.37,1.31,32.9,0
-0.17,-0.27,0.97,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.07,-0.21,1.17,32.9,0
-0.09,-0.2,1.21,32.6,0
-0.08,-0.21,1.16,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.9,0
-0.08,-0.21,1.19,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.09,-0.21,1.19,32.6,0
-0.07,-0.2,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.19,32.9,0
-0.08,-0.21,1.19,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
-0.08,-0.2,1.18,32.6,0
-0.08,-0.21,1.19,32.9,0
-0.08,-0.21,1.18,32.9,0
-0.08,-0.21,1.18,32.6,0
