File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:02:49 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.74,0.42,0.24,30.8,0.966
-0.77,0.02,0.44,30.8,0.969
-0.49,1.05,-0.28,30.8,0.966
-0.61,1.14,-0.28,30.8,0.963
-0.73,0.7,0.08,30.6,0.966
-0.7,0.7,0.13,30.8,0.966
-0.5,1.11,-0.45,30.8,0.966
-0.63,0.86,-0.29,30.8,0.969
-0.76,0.47,0.02,30.8,0.966
-0.78,0.4,0.07,30.6,0.966
-0.72,0.45,-0.05,30.6,0.963
-0.51,1.17,-0.5,30.8,0.963
-0.66,1.03,-0.51,30.6,0.96
-0.74,0.78,-0.05,30.6,0.957
-0.72,0.77,-0.12,30.6,0.948
-0.69,0.77,-0.16,30.6,0.942
-0.69,0.62,-0.19,30.6,0.937
-0.79,0.44,0,30.6,0.928
-0.86,0.35,0.23,30.6,0.925
-0.91,0.12,0.42,30.6,0.931
-0.86,0.02,0.35,30.6,0.931
-0.72,0.48,-0.21,30.6,0.934
-0.79,1,-0.54,30.8,0.925
-0.94,0.75,-0.15,30.8,0.919
-0.86,0.6,0,30.8,0.916
-0.77,0.66,-0.21,30.8,0.922
-0.71,0.62,-0.25,30.6,0.922
-0.73,0.59,-0.19,30.8,0.925
-0.73,0.62,-0.16,30.6,0.928
-0.75,0.6,-0.14,30.8,0.928
-0.73,0.54,-0.15,30.8,0.925
-0.71,0.39,-0.12,30.8,0.928
-0.7,0.33,0.22,30.8,0.925
-0.61,0.96,0,30.8,0.928
-0.56,1.83,0.5,30.8,0.925
-0.63,1.3,0.82,30.6,0.928
-0.64,0.67,0.52,30.8,0.931
-0.54,0.97,0.45,30.6,0.934
-0.51,0.74,0.34,30.8,0.943
-0.47,0.22,0.2,30.6,0.951
-0.46,-0.07,0.55,30.8,0.963
-0.2,1,-0.03,30.8,0.96
-0.1,1.49,-0.53,30.6,0.969
-0.28,1.04,-0.09,30.8,0.972
-0.3,1.13,-0.17,30.8,0.978
-0.18,1.1,-0.25,30.8,0.978
-0.15,0.97,-0.26,30.6,0.978
