File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 14:01:27 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.98,0.42,0.21,31.2,0.951
-1,0.35,0.35,31.2,0.945
-1,0.37,0.29,31.2,0.948
-1,0.36,0.3,31.2,0.948
-1,0.4,0.27,31.2,0.945
-1.05,0.46,0.3,31.2,0.945
-1,0.38,0.34,31.2,0.945
-0.95,0.47,0.27,31.2,0.945
-0.89,0.36,0.19,31.4,0.939
-0.9,0.51,0.19,31.2,0.942
-1.01,0.52,0.18,31.2,0.936
-1,0.48,0.19,31.2,0.936
-0.9,0.42,0.19,31.2,0.936
-0.97,0.54,0.12,31.2,0.942
-0.93,0.34,0.04,31.2,0.945
-0.91,0.48,0.16,31.2,0.945
-1.04,0.5,-0.38,31.2,0.948
-0.92,0.48,0.02,31.2,0.951
-0.92,0.74,0.18,31.2,0.957
-0.84,0.63,0.2,31.2,0.972
-0.88,0.62,0.15,31.2,0.972
-0.85,0.43,0.15,31.2,0.978
-0.94,0.44,0.28,31.4,0.972
-0.93,0.33,0.37,31.2,0.969
-0.94,0.51,0.07,31.2,0.969
-0.91,0.59,0.18,31.2,0.96
-0.87,0.52,0.17,31.2,0.954
-0.91,0.47,0.2,31.2,0.951
-0.97,0.51,0.19,31.2,0.951
-1,0.54,0.24,31.2,0.948
-0.96,0.49,0.26,31.2,0.951
-0.97,0.4,0.28,31.2,0.948
-0.99,0.41,0.28,31.2,0.945
-1,0.42,0.26,31.4,0.948
-1,0.47,0.26,31.2,0.945
-0.97,0.39,0.25,31.2,0.948
-0.95,0.43,0.22,31.2,0.945
-0.98,0.41,0.27,31.4,0.945
-0.98,0.37,0.23,31.2,0.945
-0.98,0.32,0.08,31.2,0.942
-0.96,0.46,0.18,31.2,0.942
-0.99,0.44,0.27,31.2,0.942
-1.01,0.44,0.34,31.2,0.945
-1,0.43,0.27,31.2,0.951
-0.98,0.41,0.24,31.2,0.951
-0.97,0.4,0.26,31.2,0.948
-0.98,0.39,0.25,31.2,0.948
-0.98,0.36,0.25,31.2,0.945
-0.96,0.38,0.24,31.2,0.951
-0.96,0.4,0.26,31.2,0.945
-0.96,0.45,0.28,31.2,0.945
-0.98,0.45,0.3,31.2,0.948
-0.97,0.47,0.29,31.2,0.945
-0.97,0.48,0.28,31.4,0.945
-0.97,0.47,0.27,31.2,0.948
-0.99,0.43,0.24,31.2,0.945
-1,0.41,0.24,31.2,0.942
-1.02,0.39,0.25,31.2,0.945
-0.99,0.37,0.27,31.2,0.948
-0.98,0.36,0.29,31.2,0.942
-0.97,0.38,0.29,31.2,0.945
-0.99,0.38,0.26,31.2,0.945
-0.99,0.38,0.27,31.2,0.945
-0.98,0.39,0.25,31.2,0.948
-0.99,0.41,0.26,31.2,0.942
-1.01,0.37,0.24,31.2,0.945
-1.05,0.3,0.14,31.4,0.948
-0.97,0.47,0.47,31.2,0.945
-0.98,0.29,0.4,31.2,0.948
-1.08,0.3,0.22,31.2,0.942
-1.03,0.3,0.23,31.2,0.942
-0.99,0.28,0.25,31.2,0.942
-0.93,0.32,0.24,31.4,0.942
-0.96,0.28,0.28,31.2,0.945
-1.02,0.43,0.5,31.2,0.945
-1,0.3,0.41,31.2,0.951
-0.97,0.4,0.35,31.2,0.951
-0.96,0.35,0.3,31.2,0.951
-1.02,0.44,0.31,31.2,0.951
-1,0.39,0.26,31.2,0.951
-0.99,0.39,0.27,31.2,0.96
-0.97,0.41,0.26,31.2,0.96
-0.97,0.42,0.3,31.2,0.96
-1.07,0.45,0.19,31.2,0.963
-1.03,0.74,0.33,31.2,0.972
-0.9,0.75,0.34,31.2,0.972
-0.91,1.17,0.4,31.2,0.969
-0.77,1.22,0.47,31.2,0.972
-0.57,1.51,0.16,31.2,0.969
-0.09,1.31,0.23,31.2,0.96
0.37,0.96,0.37,31.2,0.96
0.15,0.51,0.24,31.2,0.969
-0.22,0.46,0.2,31.2,0.978
-0.42,0.39,-0.11,31.2,0.978
-0.11,0.75,0,31.2,0.972
0.1,0.94,0.15,31.2,0.972
0.2,0.93,0.16,31.2,0.972
0.21,1.01,0.05,31.2,0.972
0.22,0.96,0.16,31.2,0.972
0.22,0.91,0.14,31.2,0.978
0.21,1.02,0.17,31.2,0.978
0.17,0.85,0.2,31.2,0.978
-0.03,0.65,0.14,31.2,0.981
-0.48,0.33,0.02,31.2,0.981
-0.61,0.09,-0.06,31.2,0.981
-0.39,0.67,0.02,31.2,0.981
-0.19,1.38,0.44,31.2,0.981
-0.09,2.08,0.99,31.2,0.978
-0.83,2.77,1,31.2,0.978
-0.38,2.16,0.64,31.2,0.996
-0.35,1.49,-0.27,31.4,1.006
-0.08,1.85,-0.3,31.2,1.008
-0.5,0.78,-0.28,31.2,1.008
-0.15,-0.01,-0.16,31.2,1.027
-0.09,-0.07,-0.37,31.4,1.037
0.01,0.53,0.84,31.2,1.024
-0.3,-0.19,0.68,31.2,1.034
-0.45,1.01,0.82,31.2,1.04
-0.41,0.98,0.75,31.2,1.034
-0.7,1.94,0.96,31.2,1.006
-0.33,1.17,0.48,31.2,1.043
-0.22,1,0.45,31.4,1.075
-0.3,1.11,0.47,31.2,1.108
-0.43,1.07,0.14,31.2,1.111
-0.4,1.23,-0.1,31.2,1.124
-0.29,1.11,0.12,31.2,1.131
-0.42,1.16,-0.03,31.2,1.141
-0.5,1.38,0.07,31.2,1.172
-0.29,1.15,0,31.2,1.175
-0.02,1.02,0.13,31.2,1.196
0.07,0.57,0.34,31.4,1.206
0.26,1.23,-0.03,31.2,1.213
0.48,0.31,-0.46,31.2,1.213
