File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:02:49 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.96,-0.11,0.73,23.3,0
-0.59,0,0.91,23.1,0
-0.37,0,0.95,23.3,0
-0.83,-0.11,0.5,23.3,0
-1.3,-0.45,0.15,23.3,0
-1.06,0.29,0.63,23.1,0
-0.92,0.06,1.24,23.3,0
-0.9,0.26,1.3,23.3,0
-0.92,-0.3,0.69,23.3,0
-1.48,-1.02,-0.29,23.3,0
-0.85,-0.2,0.45,23.3,0
-0.35,0.47,1.11,23.3,0
-0.42,0.36,1.12,23.3,0
-1.42,-1.14,-0.54,23.3,0
-1.1,-0.44,0.34,23.3,0
-0.74,0.11,0.89,23.1,0
-0.78,-0.22,0.62,23.3,0
-1.11,-0.74,0.02,23.3,0
-0.82,-0.51,0.16,23.3,0
-0.76,-0.35,0.31,23.3,0
-0.97,-0.47,-0.02,23.3,0
-1.16,-0.48,-0.22,23.3,0
-1.12,-0.53,-0.37,23.1,0
-1.08,-0.46,-0.36,23.1,0
-1.19,-0.4,-0.52,23.3,0
-0.62,-0.62,-0.12,23.3,0
-0.68,-0.77,-0.41,23.3,0
-0.6,-0.71,-0.35,23.3,0
-0.75,-0.49,-0.41,23.3,0
-0.62,-0.57,-0.35,23.3,0
-0.63,-0.66,-0.32,23.3,0
0.03,-1.11,-0.73,23.3,0
-0.16,-0.78,-0.16,23.3,0
-0.22,-0.96,-0.2,23.3,0
0.09,-1.12,-0.25,23.3,0
0.22,-1.09,-0.27,23.3,0
0.14,-0.76,-0.12,23.3,0
0,-1.47,-0.01,23.3,0
0.17,-0.84,0.19,23.3,0
0.19,-0.85,-0.15,23.3,0
0.24,-0.83,0.1,23.3,0
0.43,-0.67,0.16,23.3,0
0.39,-1.01,0.22,23.3,0
0.4,-0.83,0,23.3,0
0.27,-0.95,0,23.3,0
0.37,-0.84,0.17,23.1,0
0.34,-0.7,0.47,23.3,0
0.47,-0.57,0.13,23.3,0
0.96,-0.68,0.13,23.3,0
0.68,-0.65,-0.02,23.3,0
0.8,-0.62,0.02,23.3,0
0.98,-0.46,0.22,23.3,0
0.78,-0.65,0.16,23.3,0
0.66,-0.87,0.22,23.3,0
0.67,-0.75,0.18,23.3,0
0.79,-0.86,0.15,23.3,0
0.68,-0.81,0.12,23.3,0
0.64,-0.8,0.33,23.3,0
0.57,-0.78,0.53,23.3,0
0.57,-0.68,0.67,23.3,0
0.49,-0.64,0.75,23.3,0
0.45,-0.58,0.76,23.3,0
0.38,-0.63,0.68,23.3,0
0.37,-0.64,0.7,23.3,0
0.28,-0.77,0.62,23.3,0
0.2,-0.84,0.5,23.3,0
0.24,-0.86,0.5,23.3,0
0.15,-0.91,0.5,23.3,0
0.06,-0.89,0.51,23.3,0
0.1,-0.87,0.66,23.3,0
0.25,-0.76,0.86,23.3,0
0.2,-0.81,0.73,23.3,0
0.1,-0.87,0.57,23.3,0
0.17,-0.81,0.73,23.3,0
0.2,-0.8,0.93,23.3,0
0.2,-0.7,1.02,23.3,0
0.1,-0.61,0.95,23.3,0
-0.04,-0.53,0.87,23.3,0
0.05,-0.39,0.83,23.3,0
0.24,-0.33,1.08,23.3,0
0.4,-0.36,1.25,23.3,0
0.46,-0.34,1.29,23.3,0
0.49,-0.34,1.06,23.3,0
0.49,-0.41,0.93,23.3,0
0.54,-0.53,0.93,23.3,0
0.65,-0.63,0.97,23.3,0
0.63,-0.69,1.03,23.3,0
0.29,-0.76,0.72,23.3,0
-0.26,-0.49,0.25,23.3,0
-0.43,0.43,0.8,23.3,0
0.1,0.96,1.94,23.3,0
0.38,-0.59,1.02,23.3,0
0.2,-0.67,1.03,23.3,0
-0.23,0.15,1.37,23.3,0
-0.08,0.25,1.58,23.3,0
0.07,0.03,1.27,23.3,0
-0.02,-0.18,1.11,23.3,0
-0.05,0,1.05,23.3,0
-0.03,-0.03,1.14,23.3,0
0.02,-0.1,1.05,23.3,0
0.23,-0.36,1.13,23.3,0
0.53,-0.46,1.4,23.3,0
0.56,-0.63,1.21,23.3,0
0.39,-0.41,1,23.3,0
0.16,-0.63,0.61,23.3,0
0.01,-0.53,0.34,23.3,0
0.23,-0.27,1.04,23.3,0
0.06,0,1.1,23.3,0
0.28,0.12,1.43,23.3,0
0.96,-0.01,1.33,23.3,0
